Hora;Temperatura;Humedad
09:06:30;17.5;0.80
09:06:32;17.5;0.80
09:06:34;17.5;0.80
09:06:36;17.5;0.80
09:06:38;17.5;0.80
09:06:40;17.5;0.81
09:06:42;17.5;0.81
09:06:44;17.5;0.81
09:06:46;17.5;0.81
09:06:48;17.5;0.81
09:06:50;17.4;0.81
09:06:52;17.4;0.81
09:06:54;17.4;0.81
09:06:56;17.4;0.81
09:06:58;17.4;0.81
09:07:00;17.4;0.81
09:07:02;17.4;0.81
09:07:04;17.4;0.81
09:07:06;17.4;0.81
09:07:08;17.4;0.81
09:07:10;17.4;0.81
09:07:12;17.4;0.81
09:07:14;17.4;0.81
09:07:16;17.4;0.81
09:07:18;17.4;0.81
09:07:20;17.4;0.81
09:07:22;17.4;0.81
09:07:24;17.4;0.81
09:07:26;17.4;0.81
09:07:28;17.4;0.81
09:07:30;17.4;0.81
09:07:32;17.4;0.81
09:07:34;17.3;0.81
09:07:36;17.3;0.81
09:07:38;17.3;0.81
09:07:40;17.3;0.81
09:07:42;17.3;0.81
09:07:44; No hay datos disponibles;
09:07:46;17.3;0.81
09:07:48;17.3;0.81
09:07:50;17.3;0.81
09:07:52;17.3;0.81
09:07:54;17.4;0.81
09:07:56;17.4;0.81
09:07:58;17.4;0.81
09:08:00;17.4;0.81
09:08:02;17.4;0.81
09:08:04;17.4;0.81
09:08:06;17.4;0.81
09:08:08;17.4;0.81
09:08:10;17.4;0.81
09:08:12;17.4;0.81
09:08:14;17.4;0.81
09:08:16;17.4;0.81
09:08:18;17.4;0.81
09:08:20;17.4;0.83
09:08:22;17.4;0.83
09:08:24;17.4;0.83
09:08:26;17.4;0.83
09:08:28;17.4;0.83
09:08:30;17.4;0.83
09:08:32;17.4;0.83
09:08:34;17.4;0.83
09:08:36;17.4;0.83
09:08:38;17.4;0.83
09:08:40;17.4;0.83
09:08:42;17.4;0.83
09:08:44;17.4;0.83
09:08:46;17.4;0.83
09:08:48;17.4;0.83
09:08:50;17.4;0.83
09:08:52;17.4;0.83
09:08:54;17.4;0.83
09:08:56;17.4;0.83
09:08:58;17.4;0.83
09:09:00;17.4;0.83
09:09:03;17.4;0.83
09:09:05;17.5;0.83
09:09:06;17.4;0.83
09:09:08;17.4;0.83
09:09:11;17.5;0.83
09:09:13;17.4;0.83
09:09:14;17.4;0.83
09:09:17;17.4;0.83
09:09:19;17.4;0.83
09:09:20;17.5;0.83
09:09:23;17.4;0.83
09:09:25;17.4;0.83
09:09:27;17.4;0.83
09:09:29;17.4;0.83
09:09:31;17.4;0.83
09:09:33;17.4;0.83
09:09:35;17.4;0.83
09:09:37;17.4;0.83
09:09:39;17.4;0.83
09:09:41;17.4;0.83
09:09:43;17.4;0.83
09:09:45;17.4;0.83
09:09:47;17.4;0.83
09:09:49;17.4;0.83
09:09:51;17.4;0.83
09:09:53;17.5;0.83
09:09:55;17.5;0.83
09:09:57; No hay datos disponibles;
09:09:59;17.5;0.83
09:10:01;17.5;0.83
09:10:03;17.5;0.83
09:10:05;17.5;0.83
09:10:07;17.5;0.83
09:10:09;17.5;0.83
09:10:11;17.5;0.83
09:10:13;17.5;0.83
09:10:15;17.5;0.83
09:10:17;17.5;0.83
09:10:19;17.5;0.83
09:10:21;17.5;0.83
09:10:23;17.5;0.83
09:10:25;17.5;0.83
09:10:27;17.5;0.83
09:10:29;17.5;0.83
09:10:31;17.5;0.83
09:10:33;17.5;0.83
09:10:35;17.5;0.83
09:10:37;17.5;0.83
09:10:39;17.5;0.83
09:10:41;17.5;0.83
09:10:43;17.5;0.83
09:10:45;17.5;0.83
09:10:47;17.6;0.84
